{'pitch': -0.59, 'roll': -5.11, 'pitch_output': 1.4100000000000001, 'roll_output': 5.11, 'servo1_output': 8.52, 'servo2_output': -1.7000000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 48.53, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.973, 'servo2': 7.406}
{'pitch': -0.59, 'roll': -5.11, 'pitch_output': 1.4100000000000001, 'roll_output': 5.11, 'servo1_output': 8.52, 'servo2_output': -1.7000000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 46.63, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.973, 'servo2': 7.406}
{'pitch': -1.62, 'roll': -3.57, 'pitch_output': 0.3799999999999999, 'roll_output': 3.57, 'servo1_output': 5.949999999999999, 'servo2_output': -1.19, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 47.62, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.831, 'servo2': 7.434}
{'pitch': -1.62, 'roll': -3.57, 'pitch_output': 0.3799999999999999, 'roll_output': 3.57, 'servo1_output': 5.949999999999999, 'servo2_output': -1.19, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 45.95, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.831, 'servo2': 7.434}
{'pitch': -2.16, 'roll': -3.13, 'pitch_output': -0.16000000000000014, 'roll_output': 3.13, 'servo1_output': 4.97, 'servo2_output': -1.29, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 46.01, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.776, 'servo2': 7.428}
{'pitch': -2.16, 'roll': -3.13, 'pitch_output': -0.16000000000000014, 'roll_output': 3.13, 'servo1_output': 4.97, 'servo2_output': -1.29, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 44.55, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.776, 'servo2': 7.428}
{'pitch': -4.33, 'roll': -3.27, 'pitch_output': -2.33, 'roll_output': 3.27, 'servo1_output': 2.94, 'servo2_output': -3.5999999999999996, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 44.68, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.663, 'servo2': 7.3}
{'pitch': -4.33, 'roll': -3.27, 'pitch_output': -2.33, 'roll_output': 3.27, 'servo1_output': 2.94, 'servo2_output': -3.5999999999999996, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 43.39, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.663, 'servo2': 7.3}
{'pitch': -7.93, 'roll': -2.92, 'pitch_output': -5.93, 'roll_output': 2.92, 'servo1_output': -1.0099999999999998, 'servo2_output': -6.85, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 44.27, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.444, 'servo2': 7.119}
{'pitch': -7.93, 'roll': -2.92, 'pitch_output': -5.93, 'roll_output': 2.92, 'servo1_output': -1.0099999999999998, 'servo2_output': -6.85, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 43.09, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.444, 'servo2': 7.119}
{'pitch': -7.2, 'roll': -3.44, 'pitch_output': -5.2, 'roll_output': 3.44, 'servo1_output': 0.23999999999999977, 'servo2_output': -6.640000000000001, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 43.19, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.513, 'servo2': 7.131}
{'pitch': -7.2, 'roll': -3.44, 'pitch_output': -5.2, 'roll_output': 3.44, 'servo1_output': 0.23999999999999977, 'servo2_output': -6.640000000000001, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 42.13, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.513, 'servo2': 7.131}
{'pitch': -0.63, 'roll': -3.53, 'pitch_output': 1.37, 'roll_output': 3.53, 'servo1_output': 6.9, 'servo2_output': -0.1599999999999997, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 42.22, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.883, 'servo2': 7.491}
{'pitch': -0.63, 'roll': -3.53, 'pitch_output': 1.37, 'roll_output': 3.53, 'servo1_output': 6.9, 'servo2_output': -0.1599999999999997, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.416958947181705, 'reaction_fps': 41.25, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.883, 'servo2': 7.491}
