{'pitch': 1.78, 'roll': 19.61, 'pitch_output': 3.7800000000000002, 'roll_output': -19.61, 'servo1_output': -13.829999999999998, 'servo2_output': 25.39, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 47.75, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.732, 'servo2': 8.911}
{'pitch': 0.75, 'roll': 19.92, 'pitch_output': 2.75, 'roll_output': -19.92, 'servo1_output': -15.170000000000002, 'servo2_output': 24.67, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 47.69, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.657, 'servo2': 8.871}
{'pitch': 0.75, 'roll': 19.92, 'pitch_output': 2.75, 'roll_output': -19.92, 'servo1_output': -15.170000000000002, 'servo2_output': 24.67, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 46.01, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.657, 'servo2': 8.871}
{'pitch': 0.62, 'roll': 20.12, 'pitch_output': 2.62, 'roll_output': -20.12, 'servo1_output': -15.5, 'servo2_output': 24.740000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 46.3, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.639, 'servo2': 8.874}
{'pitch': 0.62, 'roll': 20.12, 'pitch_output': 2.62, 'roll_output': -20.12, 'servo1_output': -15.5, 'servo2_output': 24.740000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 44.83, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.639, 'servo2': 8.874}
{'pitch': 0.94, 'roll': 19.73, 'pitch_output': 2.94, 'roll_output': -19.73, 'servo1_output': -14.79, 'servo2_output': 24.67, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 45.97, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 6.678, 'servo2': 8.871}
{'pitch': 0.94, 'roll': 19.73, 'pitch_output': 2.94, 'roll_output': -19.73, 'servo1_output': -14.79, 'servo2_output': 24.67, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 44.62, 'obstacle_time': 1.03, 'obstacle_interrupt': (True, 'left'), 'servo1': 6.678, 'servo2': 8.871}
{'pitch': 0.67, 'roll': 19.57, 'pitch_output': 0.67, 'roll_output': -49.57, 'servo1_output': -46.9, 'servo2_output': 52.24, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 44.87, 'obstacle_time': 1.03, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.894, 'servo2': 10.402}
{'pitch': 0.67, 'roll': 19.57, 'pitch_output': 0.67, 'roll_output': -49.57, 'servo1_output': -46.9, 'servo2_output': 52.24, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 43.67, 'obstacle_time': 1.03, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.894, 'servo2': 10.402}
{'pitch': 0.76, 'roll': 19.56, 'pitch_output': 0.76, 'roll_output': -49.56, 'servo1_output': -46.800000000000004, 'servo2_output': 52.32, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.848833453655246, 'reaction_fps': 43.87, 'obstacle_time': 1.03, 'obstacle_interrupt': (True, 'left'), 'servo1': 4.9, 'servo2': 10.407}
