{'pitch': 13.34, 'roll': 0.51, 'pitch_output': 15.34, 'roll_output': -0.51, 'servo1_output': 16.83, 'servo2_output': 17.85, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 46.47, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.435, 'servo2': 8.492}
{'pitch': 13.33, 'roll': 0.49, 'pitch_output': 15.33, 'roll_output': -0.49, 'servo1_output': 16.84, 'servo2_output': 17.82, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 46.5, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.436, 'servo2': 8.49}
{'pitch': 13.33, 'roll': 0.49, 'pitch_output': 15.33, 'roll_output': -0.49, 'servo1_output': 16.84, 'servo2_output': 17.82, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 44.87, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.436, 'servo2': 8.49}
{'pitch': 13.33, 'roll': 0.48, 'pitch_output': 15.33, 'roll_output': -0.48, 'servo1_output': 16.85, 'servo2_output': 17.810000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 45.03, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.436, 'servo2': 8.489}
{'pitch': 13.33, 'roll': 0.48, 'pitch_output': 15.33, 'roll_output': -0.48, 'servo1_output': 16.85, 'servo2_output': 17.810000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 43.61, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.436, 'servo2': 8.489}
{'pitch': 13.33, 'roll': 0.48, 'pitch_output': 15.33, 'roll_output': -0.48, 'servo1_output': 16.85, 'servo2_output': 17.810000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 44.86, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 8.436, 'servo2': 8.489}
{'pitch': 13.33, 'roll': 0.48, 'pitch_output': 15.33, 'roll_output': -0.48, 'servo1_output': 16.85, 'servo2_output': 17.810000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 43.56, 'obstacle_time': 1.01, 'obstacle_interrupt': (True, 'up'), 'servo1': 8.436, 'servo2': 8.489}
{'pitch': 13.31, 'roll': 0.47, 'pitch_output': -16.689999999999998, 'roll_output': -0.47, 'servo1_output': -15.159999999999997, 'servo2_output': -14.219999999999999, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 43.81, 'obstacle_time': 1.01, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.658, 'servo2': 6.71}
{'pitch': 13.31, 'roll': 0.47, 'pitch_output': -16.689999999999998, 'roll_output': -0.47, 'servo1_output': -15.159999999999997, 'servo2_output': -14.219999999999999, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 42.65, 'obstacle_time': 1.01, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.658, 'servo2': 6.71}
{'pitch': 13.3, 'roll': 0.54, 'pitch_output': -16.7, 'roll_output': -0.54, 'servo1_output': -15.239999999999998, 'servo2_output': -14.16, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 42.87, 'obstacle_time': 1.01, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.653, 'servo2': 6.713}
{'pitch': 13.3, 'roll': 0.54, 'pitch_output': -16.7, 'roll_output': -0.54, 'servo1_output': -15.239999999999998, 'servo2_output': -14.16, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 41.81, 'obstacle_time': 1.01, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.653, 'servo2': 6.713}
{'pitch': 13.28, 'roll': 0.61, 'pitch_output': -16.72, 'roll_output': -0.61, 'servo1_output': -15.329999999999998, 'servo2_output': -14.11, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 42.71, 'obstacle_time': 2.51, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.648, 'servo2': 6.716}
{'pitch': 13.28, 'roll': 0.61, 'pitch_output': -16.72, 'roll_output': -0.61, 'servo1_output': -15.329999999999998, 'servo2_output': -14.11, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 41.73, 'obstacle_time': 2.51, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.648, 'servo2': 6.716}
{'pitch': 13.27, 'roll': 0.67, 'pitch_output': -16.73, 'roll_output': -0.67, 'servo1_output': -15.400000000000002, 'servo2_output': -14.059999999999999, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 42.05, 'obstacle_time': 2.51, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.644, 'servo2': 6.719}
{'pitch': 13.27, 'roll': 0.67, 'pitch_output': -16.73, 'roll_output': -0.67, 'servo1_output': -15.400000000000002, 'servo2_output': -14.059999999999999, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 41.15, 'obstacle_time': 2.51, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.644, 'servo2': 6.719}
{'pitch': 13.26, 'roll': 0.7, 'pitch_output': -16.740000000000002, 'roll_output': -0.7, 'servo1_output': -15.440000000000001, 'servo2_output': -14.040000000000003, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 41.45, 'obstacle_time': 3.39, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.642, 'servo2': 6.72}
{'pitch': 13.26, 'roll': 0.7, 'pitch_output': -16.740000000000002, 'roll_output': -0.7, 'servo1_output': -15.440000000000001, 'servo2_output': -14.040000000000003, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 40.62, 'obstacle_time': 3.39, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.642, 'servo2': 6.72}
{'pitch': 13.25, 'roll': 0.65, 'pitch_output': -16.75, 'roll_output': -0.65, 'servo1_output': -15.399999999999999, 'servo2_output': -14.100000000000001, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 41.43, 'obstacle_time': 3.39, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.644, 'servo2': 6.717}
{'pitch': 13.25, 'roll': 0.65, 'pitch_output': -16.75, 'roll_output': -0.65, 'servo1_output': -15.399999999999999, 'servo2_output': -14.100000000000001, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 40.65, 'obstacle_time': 3.39, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.644, 'servo2': 6.717}
{'pitch': 13.26, 'roll': 0.64, 'pitch_output': -16.740000000000002, 'roll_output': -0.64, 'servo1_output': -15.380000000000003, 'servo2_output': -14.100000000000001, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 40.79, 'obstacle_time': 3.84, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.646, 'servo2': 6.717}
{'pitch': 13.26, 'roll': 0.64, 'pitch_output': -16.740000000000002, 'roll_output': -0.64, 'servo1_output': -15.380000000000003, 'servo2_output': -14.100000000000001, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 40.06, 'obstacle_time': 3.84, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.646, 'servo2': 6.717}
{'pitch': 13.27, 'roll': 0.65, 'pitch_output': -16.73, 'roll_output': -0.65, 'servo1_output': -15.379999999999999, 'servo2_output': -14.080000000000002, 'depth': 0.0, 'depth_output': 2.0, 'temps': 34.66821893811226, 'reaction_fps': 40.34, 'obstacle_time': 3.84, 'obstacle_interrupt': (True, 'up'), 'servo1': 6.646, 'servo2': 6.718}
