{'pitch': -2.54, 'roll': -1.59, 'pitch_output': -0.54, 'roll_output': 1.59, 'servo1_output': 3.05, 'servo2_output': -0.1299999999999999, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 52.91, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.669, 'servo2': 7.493}
{'pitch': -2.59, 'roll': -1.66, 'pitch_output': -0.5899999999999999, 'roll_output': 1.66, 'servo1_output': 3.0700000000000003, 'servo2_output': -0.25, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 53.62, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.671, 'servo2': 7.486}
{'pitch': -2.59, 'roll': -1.66, 'pitch_output': -0.5899999999999999, 'roll_output': 1.66, 'servo1_output': 3.0700000000000003, 'servo2_output': -0.25, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 51.56, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.671, 'servo2': 7.486}
{'pitch': -2.61, 'roll': -1.53, 'pitch_output': -0.6099999999999999, 'roll_output': 1.53, 'servo1_output': 2.92, 'servo2_output': -0.13999999999999968, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 51.36, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.662, 'servo2': 7.492}
{'pitch': -2.61, 'roll': -1.53, 'pitch_output': -0.6099999999999999, 'roll_output': 1.53, 'servo1_output': 2.92, 'servo2_output': -0.13999999999999968, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 49.58, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.662, 'servo2': 7.492}
{'pitch': -2.56, 'roll': -1.56, 'pitch_output': -0.56, 'roll_output': 1.56, 'servo1_output': 3.0, 'servo2_output': -0.1200000000000001, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 49.51, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.667, 'servo2': 7.493}
{'pitch': -2.56, 'roll': -1.56, 'pitch_output': -0.56, 'roll_output': 1.56, 'servo1_output': 3.0, 'servo2_output': -0.1200000000000001, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 47.96, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.667, 'servo2': 7.493}
{'pitch': -2.7, 'roll': -1.4, 'pitch_output': -0.7000000000000002, 'roll_output': 1.4, 'servo1_output': 2.6999999999999997, 'servo2_output': -0.10000000000000009, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 48.98, 'obstacle_time': 0, 'obstacle_interrupt': [False, None], 'servo1': 7.65, 'servo2': 7.494}
{'pitch': -2.7, 'roll': -1.4, 'pitch_output': -0.7000000000000002, 'roll_output': 1.4, 'servo1_output': 2.6999999999999997, 'servo2_output': -0.10000000000000009, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 47.57, 'obstacle_time': 1.01, 'obstacle_interrupt': (True, 'right'), 'servo1': 7.65, 'servo2': 7.494}
{'pitch': -2.74, 'roll': -1.23, 'pitch_output': -2.74, 'roll_output': 31.23, 'servo1_output': 30.490000000000002, 'servo2_output': -31.97, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 47.61, 'obstacle_time': 1.01, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.194, 'servo2': 5.724}
{'pitch': -2.74, 'roll': -1.23, 'pitch_output': -2.74, 'roll_output': 31.23, 'servo1_output': 30.490000000000002, 'servo2_output': -31.97, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 46.36, 'obstacle_time': 1.01, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.194, 'servo2': 5.724}
{'pitch': -2.96, 'roll': -1.1, 'pitch_output': -2.96, 'roll_output': 31.1, 'servo1_output': 30.14, 'servo2_output': -32.06, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 46.49, 'obstacle_time': 1.01, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.174, 'servo2': 5.719}
{'pitch': -2.96, 'roll': -1.1, 'pitch_output': -2.96, 'roll_output': 31.1, 'servo1_output': 30.14, 'servo2_output': -32.06, 'depth': 0.0, 'depth_output': 2.0, 'temps': 35.327724739313126, 'reaction_fps': 45.35, 'obstacle_time': 2.77, 'obstacle_interrupt': (True, 'right'), 'servo1': 9.174, 'servo2': 5.719}
